title,vote_count,vote_average,year,genres,id,overview,est,hybrid_score
Solaris,364.0,7.7,1972,"['drama', 'sciencefiction', 'adventure', 'mystery']",593,"Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.",3.645372525341089,4.45629802027287
Iron Man 3,8951.0,6.8,2013,"['action', 'adventure', 'sciencefiction']",68721,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",3.8438651625155473,4.435092130012437
Time Bandits,255.0,6.6,1981,"['family', 'fantasy', 'sciencefiction', 'adventure', 'comedy']",36819,"Young history buff Kevin can scarcely believe it when six dwarfs emerge from his closet one night. Former employees of the Supreme Being, they've purloined a map charting all of the holes in the fabric of time and are using it to steal treasures from different historical eras. Taking Kevin with them, they variously drop in on Napoleon, Robin Hood and King Agamemnon before the Supreme Being catches up with them.",3.864002974134265,4.411202379307412
Heart and Souls,84.0,6.6,1993,"['fantasy', 'drama', 'comedy', 'sciencefiction', 'romance']",12187,"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife.",3.8135752700789536,4.370860216063162
Captain America: The First Avenger,7174.0,6.6,2011,"['action', 'adventure', 'sciencefiction']",1771,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",3.807968127242248,4.366374501793798
Babylon 5: A Call to Arms,36.0,6.9,1999,"['action', 'drama', 'sciencefiction', 'adventure']",10916,"Allies of the Shadows seek revenge against humanity. This movie sets up the series, ""Crusade,"" the sequel to ""Babylon 5.""",3.71676731170636,4.353413849365087
Chef,1203.0,7.2,2014,['comedy'],212778,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",3.5840631381117625,4.30725051048941
Iron Man 2,6969.0,6.6,2010,"['adventure', 'action', 'sciencefiction']",10138,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",3.7292134708275246,4.303370776662019
Stargate,942.0,6.8,1994,"['action', 'adventure', 'sciencefiction']",2164,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",3.678127138370408,4.302501710696326
Mysterious Island,38.0,6.2,1961,"['action', 'adventure', 'sciencefiction']",18993,"During the US Civil War, Union POWs escape in a balloon and end up stranded on a South Pacific island, inhabited by giant plants and animals. They must use their ingenuity to survive the dangers, and to devise a way to return home. Sequel to '20,000 Leagues Under the Sea' .",3.79872971657574,4.278983773260592
Predators,1231.0,6.0,2010,"['action', 'sciencefiction', 'adventure', 'thriller']",34851,"A mercenary reluctantly leads a motley crew of warriors who soon come to realize they've been captured and deposited on an alien planet by an unknown nemesis. With the exception of a peculiar physician, they are all cold-blooded killers, convicts, death squad members... hunters who have now become the hunted.",3.8380679460872624,4.270454356869809
Babylon 5: Thirdspace,39.0,6.4,1998,"['action', 'drama', 'sciencefiction', 'adventure']",10941,"Susan Ivanova discovers a derelict spaceship in hyperspace. They tow it back to Babylon 5, then strange things start happening. People are being telepathically taken over by aliens from another (third)space.",3.711059633727992,4.248847706982394
John Carter,2170.0,6.1,2012,"['action', 'adventure', 'sciencefiction']",49529,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",3.768215461896623,4.2345723695172985
Captain America: Civil War,7462.0,7.1,2016,"['adventure', 'action', 'sciencefiction']",271110,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",3.490883115778649,4.212706492622919
The Expendables 3,1830.0,6.1,2014,"['action', 'adventure', 'thriller']",138103,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",3.7245525425044494,4.19964203400356
Independence Day,3334.0,6.7,1996,"['action', 'adventure', 'sciencefiction']",602,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",3.5641088531881544,4.191287082550524
Babylon 5: The River of Souls,29.0,6.1,1998,"['action', 'drama', 'sciencefiction', 'adventure']",10921,A group of Soul Hunters come to Babylon 5 demanding the return of something that was stolen from them.,3.7098399676276896,4.187871974102151
A.I. Artificial Intelligence,2011.0,6.8,2001,"['drama', 'sciencefiction', 'adventure']",644,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",3.5054645021479005,4.1643716017183205
The Fury,73.0,6.2,1978,"['horror', 'sciencefiction', 'thriller']",12611,"A government agent is determined to come to his son's rescue, when a sinister official kidnaps him to harness his extremely powerful psychic abilities.",3.630901209125764,4.144720967300611
Journey to the Center of the Earth,1353.0,5.8,2008,"['action', 'sciencefiction', 'adventure', 'comedy', 'family']",88751,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",3.728209841621248,4.142567873296998
The Island,1813.0,6.5,2005,"['action', 'thriller', 'sciencefiction', 'adventure']",1635,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",3.5045642741987746,4.10365141935902
Mad Max Beyond Thunderdome,765.0,5.9,1985,"['action', 'adventure', 'sciencefiction']",9355,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",3.582278806320113,4.045823045056091
Six-String Samurai,36.0,5.8,1998,"['action', 'adventure', 'sciencefiction']",24746,"In a post-apocalyptic world where the Russians have taken over a nuked USA and Elvis is king of Lost Vegas, Buddy is a '50s rocker and wandering warrior rolled into one, too-cool package. Armed with his six-string in one hand and his sword in the other, Buddy is on his way to Vegas to succeed Elvis as King. Along the way, he saves an orphan who decides to tag along.",3.5941421297267646,4.035313703781412
Star Wars: The Clone Wars,434.0,5.8,2008,"['thriller', 'animation', 'action', 'sciencefiction', 'adventure', 'fantasy']",12180,Set between Episode II and III the Clone Wars is the first computer animated Star Wars film. Anakin and Obi Wan must find out who kidnapped Jabba the Hutts son and return him safely. The Seperatists will try anything to stop them and ruin any chance of a diplomatic agreement between the Hutt's and the Republic.,3.576574536040716,4.021259628832572
I Am Number Four,1606.0,5.9,2011,"['action', 'thriller', 'sciencefiction', 'adventure']",46529,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",3.538060550039976,4.010448440031981
Meet Dave,381.0,5.1,2008,"['comedy', 'sciencefiction', 'adventure', 'family']",11260,"A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman.",3.688342563180519,3.970674050544416
King Kong vs. Godzilla,48.0,6.0,1962,"['action', 'adventure', 'sciencefiction']",1680,"After a 7 year hiatus, Godzilla returned to the screen to take on King Kong in the 3rd film in the Godzilla franchise. A pharmaceutical company captures King Kong and brings him to Japan, where he escapes from captivity and battles a recently revived Godzilla.",3.4622553102483407,3.9698042481986726
Zathura: A Space Adventure,808.0,6.1,2005,"['family', 'fantasy', 'sciencefiction', 'adventure']",6795,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",3.413362042189135,3.950689633751308
Replicant,93.0,5.0,2001,"['action', 'adventure', 'sciencefiction', 'thriller']",10596,"Scientists create a genetic clone of a serial killer in order to help catch the killer, teaming up with two cops.",3.688342563180519,3.950674050544415
The Saint,310.0,5.9,1997,"['thriller', 'action', 'romance', 'sciencefiction', 'adventure']",10003,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",3.458206920781572,3.9465655366252577
Masters of the Universe,196.0,5.1,1987,"['action', 'fantasy', 'sciencefiction', 'adventure', 'thriller']",11649,"The world of Eternia in the aftermath of Skeletor's war on Castle Grayskull, which he has won after seizing Grayskull and the surrounding city using a cosmic key developed by the locksmith Gwildor. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe that will bestow god-like power upon him.",3.650434213704665,3.940347370963732
The Wolverine,4110.0,6.3,2013,"['action', 'sciencefiction', 'adventure', 'fantasy']",76170,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",3.3300663368821213,3.924053069505697
Independence Day: Resurgence,2550.0,4.9,2016,"['action', 'adventure', 'sciencefiction']",47933,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",3.670254749072771,3.916203799258217
Oblivion,4862.0,6.4,2013,"['action', 'sciencefiction', 'adventure', 'mystery']",75612,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",3.290667211473885,3.912533769179108
Pacific Rim,4903.0,6.7,2013,"['action', 'sciencefiction', 'adventure']",68726,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",3.2129114309754123,3.91032914478033
Dune,576.0,6.5,1984,"['action', 'sciencefiction', 'adventure']",841,"In the year 10,191, the world is at war for control of the desert planet Dune – the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",3.254203896453318,3.903363117162655
Made,55.0,6.3,2001,"['action', 'comedy', 'thriller']",15745,Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.,3.269460563769494,3.875568451015595
Hawk the Slayer,13.0,4.5,1980,"['fantasy', 'action', 'adventure', 'sciencefiction']",25628,"Hawk the Slayer, after seeing both his father and bride die at the hands of his malevolent brother, Voltan, sets out for revenge and the chance to live up to his title. Tooling himself up with the ""mind-sword"" and recruiting a motley band of warriors: a giant, a dwarf, a one-armed man with a machine-crossbow and an elf with the fastest bow in the land; Hawk leads the battle against Voltan to free the land from the forces of evil and avenge his loved ones.",3.606214007196513,3.7849712057572105
Transformers: Dark of the Moon,3351.0,6.1,2011,"['action', 'sciencefiction', 'adventure']",38356,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",3.191888186107905,3.773510548886324
Sky Captain and the World of Tomorrow,445.0,5.7,2004,"['mystery', 'action', 'thriller', 'sciencefiction', 'adventure']",5137,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",3.2743169506436383,3.759453560514911
Armageddon,2540.0,6.5,1998,"['action', 'thriller', 'sciencefiction', 'adventure']",95,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",3.062282537538502,3.7498260300308015
Fantastic Four,3040.0,5.5,2005,"['action', 'adventure', 'fantasy', 'sciencefiction']",9738,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",3.200124716970255,3.660099773576204
Cowboys & Aliens,2054.0,5.4,2011,"['action', 'sciencefiction', 'thriller', 'western']",49849,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",3.14503502897349,3.596028023178792
2012,4994.0,5.6,2009,"['action', 'adventure', 'sciencefiction']",14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2.945801611890884,3.4766412895127066
High Fidelity,636.0,7.0,2000,"['comedy', 'drama', 'romance', 'music']",243,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.",4.206970169191963,4.76557613535357
Begin Again,1285.0,7.3,2013,"['comedy', 'music', 'romance', 'drama']",198277,"Gretta's celebrity boyfriend breaks up with her after a long-term relationship, leaving the singer to find success on her own. With the help of record producer, Dan and hip-hop celebrity, Trouble Gum, Gretta strives to fulfil her musical ambitions.",4.061357722959457,4.709086178367565
The Life and Death of Colonel Blimp,44.0,7.9,1943,"['war', 'comedy', 'drama', 'romance']",25037,"General Clive Candy lives through four decades of war and peace - from the Boer War to World War II - trying to stay true to his belief that ""right will always defeat might"" and trying to stay relevant while the world changes irrevocably around him.",3.881601781943188,4.68528142555455
Code Unknown,59.0,6.9,2000,"['war', 'drama', 'romance']",30970,"A series of events unfold like a chain reaction, all stemming from a minor event that brings the film's five characters together. Set in Paris, France, Anne is an actress whose boyfriend Georges photographs the war in Kosovo. Georges' brother, Jean, is looking for the entry code to Georges' apartment. These characters lives interconnect with a Romanian immigrant and a deaf teacher.",4.08580549980021,4.648644399840168
Plan B,28.0,7.3,2009,"['comedy', 'drama', 'romance']",44282,Bruno's plan to win back his ex-girlfriend hits a snag when he becomes attracted to her boyfriend.,3.9826305875240537,4.646104470019243
A Tale of Springtime,13.0,7.4,1990,"['comedy', 'drama', 'romance']",28213,"Simple conversations engender complicated human interactions. The first in Eric Rohmer's Four Seasons series, Conte de printemps (A Tale In Springtime) is the story of an introverted young girl (Florence Darel) just reaching adulthood who takes a liking to an older woman she meets at a party (Anne Teyssedre) and determines to match her off with her father (Hugues Quester), despite the latter's already having a lover of his own. There is a certain absurdity to this, apparent to both adults, who though both reluctantly attracted to each other resent Darel's attempts at matchmaking. Nevertheless, both of them are intelligent enough to understand that there is no 'proper' way to meet, and are alive to the possibilities that life brings them. Darel, for her part, is a persistent catalyst. As with all Rohmer films, the stage is set, in an age of increasing impermanence and uncertainty in human relationships, for a series of minimalist reflections on love and life.",3.8898514745286095,4.591881179622888
The Girl in the Café,32.0,6.6,2005,"['comedy', 'drama', 'romance', 'tvmovie']",28201,"Lawrence, an aging, lonely civil servant falls for Gina, an enigmatic young woman. When he takes her to the G8 Summit in Reykjavik, however, their bond is tested by Lawrence's professional obligations.",4.087541537570379,4.590033230056303
Stage Beauty,34.0,7.0,2004,"['comedy', 'drama', 'romance']",26108,"Humble Maria, who outfits top London theater star Ned Kynaston, takes none of the credit for the male actor's success at playing women. And because this is the 17th century, Maria, like other females, is prohibited from pursuing her dream of acting. But when powerful people support her, King Charles II lifts the ban on female stage performers. And just as Maria aided Ned, she needs his help to learn her new profession.",3.9667898138578543,4.573431851086284
Delirious,18.0,6.7,2006,"['comedy', 'drama', 'romance']",13650,"Les, a small-time celebrity photographer desperate to make it big, befriends Toby, a homeless young man with no direction except a vague desire to become an actor. When by chance Toby becomes romantically involved with K'Harma Leeds, the hottest pop star of the moment, Les grows jealous and plots revenge.",4.014514074168447,4.5516112593347575
Comet,150.0,6.8,2014,"['sciencefiction', 'comedy', 'drama', 'romance']",276908,"When a chance encounter brings together the cynical Dell and the quick-witted Kimberly, the stage is set for a tempestuous love affair that unfolds like a puzzle. As the film zigzags back and forth in time-from a meteor shower in LA, to an encounter in a Paris hotel room, to a fateful phone call-an unforgettable portrait of a relationship emerges.",3.96395638938679,4.531165111509432
Dedication,31.0,6.6,2007,"['comedy', 'drama', 'romance']",14118,"A modern love story in which a misanthropic, emotionally complex author of a hit children's book is forced to team with a beautiful illustrator after his best friend and collaborator passes away. As Henry struggles with letting go of the ghosts of love and life, he discovers that sometimes you have to take a gamble at life to find love.",4.00846109470397,4.526768875763175
Brighton Beach Memoirs,20.0,6.2,1986,"['comedy', 'drama', 'romance']",32060,"Eugene, a young teenage Jewish boy, recalls his memoirs of his time as an adolescent youth. He lives with his parents, his aunt, two cousins, and his brother, Stanley, whom he looks up to and admires. He goes through the hardships of puberty, sexual fantasy, and living the life of a poor boy in a crowded house.",4.097820681889231,4.518256545511385
Cold Comfort Farm,21.0,7.0,1995,"['comedy', 'drama', 'romance']",32513,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process.",3.88148584742374,4.505188677938992
Moscow on the Hudson,52.0,6.3,1984,"['comedy', 'drama', 'romance']",23111,"A Russian circus visits the US. A clown wants to defect, but doesn't have the nerve. His saxophone playing friend however comes to the decision to defect in the middle of Bloomingdales. He is befriended by the black security guard and falls in love with the Italian immigrant from behind the perfume counter. We follow his life as he works his way through the American dream and tries to find work as a musician.",4.019014282914367,4.4752114263314935
Carancho,36.0,6.5,2010,"['thriller', 'drama', 'romance']",47261,"In Argentina over 8,000 people die in traffic accidents every year. Behind each of these tragedies is a flourishing industry founded on insurance payouts and legal loopholes. Sosa is a lawyer who tours the A&amp;E Departments of the public hospitals and the police stations in search of potential clients. Luján is a young doctor recently arrived from the provinces. Their love story kicks off one night when Luján and Sosa meet in the street. She's trying to save a man's life; he wants him on his client portfolio",3.945902301562208,4.456721841249767
Being Julia,23.0,6.4,2004,"['comedy', 'drama', 'romance']",18701,"Julia Lambert is a true diva: beautiful, talented, weathly and famous.  She has it all - including a devoted husband who has mastermined her brilliant career - but after years of shining in the spotlight she begins to suffer from a severe case of boredom and longs for something new and exciting to put the twinkle back in her eye.  Julia finds exactly what she's looking for in a handsome young American fan, but it isn't long before the novelty fling adds a few more sparks than she was hoping for.  Fortuately for her, this surprise twist in the plot will trust her back into the greatest role of her life.",3.9676215730773374,4.454097258461871
Beautiful Girls,103.0,6.6,1996,"['comedy', 'drama', 'romance']",9283,"During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",3.876470192999729,4.421176154399783
The Wood,34.0,7.1,1999,"['comedy', 'drama', 'romance']",16158,"In the panicky, uncertain hours before his wedding, a groom with prenuptial jitters and his two best friends reminisce about growing up together in the middle-class African-American neighborhood of Inglewood, California. Flashing back to the twenty-something trio's childhood exploits, the memories capture the mood and nostalgia of the '80s era.",3.7501484247362793,4.420118739789023
Our Lady of the Assassins,16.0,6.5,2000,"['crime', 'drama', 'romance']",44321,"World-weary arthur Fernando has returned to his native Colombia to live out his days in peace.  But Fernando's once-quiet hometown has become a hotbed of violence, drugs and corruption.  On the brink of despair, Fernando meets Alexis, a beautiful but hardened street kid who lives by the rule of the gun.  Together, they forge an unlikely relationship.",3.87576977402244,4.400615819217951
Moon Over Parador,17.0,6.0,1988,"['action', 'comedy', 'drama', 'romance']",34014,"Little known actor, Jack Noah, is working on location in the dictatorship of Parador at the time the dictator dies. The dictator's right hand man, Roberto, makes Jack an offer he cannot refuse.. to play the dictator. Jack's acting skills fool the masses but not close friends and employees of the dictator.",3.972336874505314,4.377869499604252
Greenberg,163.0,6.0,2010,"['comedy', 'drama', 'romance']",27583,"A New Yorker moves to Los Angeles in order to figure out his life while he housesits for his brother, and he soon sparks with his brother's assistant.",3.9681818286132446,4.374545462890596
Shopgirl,80.0,5.7,2005,"['comedy', 'drama', 'romance']",2610,"Mirabelle is a disenchanted salesgirl and aspiring artist who sells gloves and accessories at a department store. She has two men in her life: wealthy divorcée Ray Porter and struggling musician Jeremy. Mirabelle falls in love with the glamorous Ray, and her life takes a magical turn, but eventually she realizes that she must empower herself and make a choice between them.",4.040823822140276,4.372659057712221
The Four Seasons,16.0,6.3,1981,"['comedy', 'drama', 'romance']",25113,"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",3.8898514745286095,4.371881179622888
High School Musical 3: Senior Year,858.0,6.1,2008,"['comedy', 'drama', 'family', 'music', 'romance']",11887,"It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor ― and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. But with graduation approaching and college plans in question, what will become of the dreams, romances, and friendships of East High's senior Wildcats?",3.938068110446114,4.370454488356891
Kicking and Screaming,36.0,7.0,1995,"['comedy', 'drama', 'romance']",28387,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",3.6892504387789695,4.351400351023176
